customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
QZ44356,Arizona,F,Bachelor,697953,0.0,94.0,697953.59,Personal Auto,Four-Door Car,1131
AI49188,Nevada,F,Bachelor,1288743,48767.0,108.0,1288743.17,Personal Auto,Two-Door Car,566
WW63253,California,M,Bachelor,764586,0.0,106.0,764586.18,Corporate Auto,SUV,529
GA49547,Washington,M,High School or Below,536307,36357.0,68.0,536307.65,Personal Auto,Four-Door Car,17
OC83172,Oregon,F,Bachelor,825629,62902.0,69.0,825629.78,Personal Auto,Two-Door Car,159
XZ87318,Oregon,F,College,538089,55350.0,67.0,538089.86,Corporate Auto,Four-Door Car,321
CF85061,Arizona,M,Master,721610,0.0,101.0,721610.03,Corporate Auto,Four-Door Car,363
DY87989,Oregon,M,Bachelor,2412750,14072.0,71.0,2412750.4,Corporate Auto,Four-Door Car,511
BQ94931,Oregon,F,College,738817,28812.0,93.0,738817.81,Special Auto,Four-Door Car,425
SX51350,California,M,College,473899,0.0,67.0,473899.2,Personal Auto,Four-Door Car,482
VQ65197,California,Unknown,College,819719,0.0,110.0,819719.71,Personal Auto,SUV,528
DP39365,California,Unknown,Master,879879,77026.0,110.0,879879.7,Corporate Auto,Four-Door Car,472
SJ95423,Arizona,Unknown,High School or Below,881901,99845.0,110.0,881901.89,Corporate Auto,SUV,528
IL66569,California,Unknown,College,538443,83689.0,70.0,538443.17,Corporate Auto,Four-Door Car,307
BW63560,Oregon,Unknown,Bachelor,746313,24599.0,64.0,746313.94,Corporate Auto,Four-Door Car,42
FV94802,Nevada,Unknown,High School or Below,256686,25049.0,67.0,256686.78,Personal Auto,Two-Door Car,454
OE15005,California,Unknown,College,394524,28855.0,101.0,394524.16,Personal Auto,SUV,647
WC83389,Oregon,Unknown,College,571033,51148.0,72.0,571033.31,Personal Auto,Four-Door Car,308
FL50705,California,Unknown,High School or Below,816261,66140.0,101.0,816261.71,Corporate Auto,Four-Door Car,484
ZK25313,Oregon,Unknown,High School or Below,287205,57749.0,74.0,287205.13,Personal Auto,Two-Door Car,355
QK46697,Washington,M,Bachelor,617710,61040.0,79.0,617710.93,Personal Auto,Two-Door Car,20
YH23384,Arizona,Unknown,Bachelor,2412750,14072.0,71.0,2412750.4,Personal Auto,Four-Door Car,511
TZ98966,Nevada,Unknown,Bachelor,245019,0.0,73.0,245019.1,Corporate Auto,Four-Door Car,554
HM55802,California,Unknown,Bachelor,239210,17870.0,61.0,239210.79,Corporate Auto,Four-Door Car,439
FS42516,Oregon,Unknown,College,580206,97541.0,72.0,580206.6,Personal Auto,Four-Door Car,389
US89481,California,Unknown,Bachelor,394637,0.0,111.0,394637.21,Personal Auto,Four-Door Car,799
HS14476,Washington,M,College,916206,29723.0,80.0,916206.32,Personal Auto,Four-Door Car,20
GE62437,Arizona,Unknown,College,1290256,86584.0,111.0,1290256.01,Personal Auto,Four-Door Car,532
EJ77678,Oregon,Unknown,Master,323536,75690.0,80.0,323536.05,Personal Auto,Four-Door Car,384
SV85652,Arizona,Unknown,College,245458,23158.0,63.0,245458.35,Personal Auto,Four-Door Car,322
UL64533,Nevada,Unknown,High School or Below,1897545,65999.0,237.0,1897545.61,Corporate Auto,Luxury,615
PF41800,California,Unknown,Bachelor,471532,0.0,65.0,471532.13,Personal Auto,Four-Door Car,308
HD95276,Washington,F,College,473787,0.0,130.0,473787.17,Personal Auto,SUV,23
SK67821,Oregon,Unknown,Bachelor,493291,37260.0,62.0,493291.63,Corporate Auto,Four-Door Car,15
YV55495,Arizona,Unknown,High School or Below,574422,68987.0,71.0,574422.97,Personal Auto,Four-Door Car,204
KY38074,California,Unknown,Bachelor,1389173,42305.0,117.0,1389173.57,Personal Auto,Four-Door Car,561
DM79012,Oregon,Unknown,Master,738097,65706.0,91.0,738097.67,Personal Auto,Four-Door Car,436
CM61827,Oregon,Unknown,Bachelor,309003,0.0,90.0,309003.41,Personal Auto,Two-Door Car,648
WC35801,Arizona,Unknown,High School or Below,252163,53243.0,66.0,252163.31,Personal Auto,Four-Door Car,157
QG25316,Nevada,Unknown,High School or Below,265206,0.0,70.0,265206.18,Corporate Auto,Two-Door Car,484
MB98372,Oregon,Unknown,College,277104,50071.0,71.0,277104.5,Corporate Auto,Two-Door Car,18
IL19217,California,Unknown,Bachelor,393900,60021.0,99.0,393900.64,Personal Auto,Four-Door Car,882
SR38658,Arizona,Unknown,High School or Below,1223187,43244.0,103.0,1223187.97,Personal Auto,Luxury,494
YD87931,Washington,M,Doctor,495165,46896.0,35354.0,495165.61,Personal Auto,Four-Door Car,31
HG65722,Oregon,Unknown,Doctor,1281910,10105.0,172.0,1281910.29,Personal Auto,SUV,0
BU27331,Arizona,Unknown,Bachelor,446851,0.0,73.0,446851.05,Personal Auto,Four-Door Car,579
XM45289,Oregon,Unknown,High School or Below,551434,23218.0,71.0,551434.4,Personal Auto,Two-Door Car,447
KP34198,California,Unknown,Bachelor,334387,0.0,92.0,334387.53,Corporate Auto,Four-Door Car,529
SH90947,Arizona,Unknown,High School or Below,229447,0.0,62.0,229447.89,Personal Auto,Four-Door Car,313
WE95729,Oregon,Unknown,College,3670742,24804.0,104.0,3670742.64,Personal Auto,SUV,593
PY51963,California,Unknown,Bachelor,3347334,33190.0,106.0,3347334.95,Corporate Auto,SUV,508
RB69909,Nevada,Unknown,High School or Below,798343,36014.0,69.0,798343.17,Special Auto,Four-Door Car,173
NW21079,Washington,F,Master,487938,67163.0,61.0,487938.48,Personal Auto,Two-Door Car,33
FR46645,California,Unknown,Bachelor,429399,16701.0,113.0,429399.73,Personal Auto,Four-Door Car,831
SY17488,Arizona,Unknown,College,716439,46623.0,91.0,716439.55,Corporate Auto,Four-Door Car,436
AP67935,California,Unknown,College,761951,64749.0,64.0,761951.58,Special Auto,Four-Door Car,302
FS37417,Arizona,Unknown,High School or Below,395800,0.0,101.0,395800.28,Personal Auto,SUV,484
ML29312,Oregon,Unknown,High School or Below,449949,16969.0,124.0,449949.33,Personal Auto,SUV,704
UB61619,Oregon,Unknown,Master,405956,11621.0,108.0,405956.74,Personal Auto,Four-Door Car,518
CD86811,Arizona,Unknown,Bachelor,445811,17622.0,65.0,445811.34,Personal Auto,Four-Door Car,312
RU83859,California,Unknown,Bachelor,811033,11489.0,105.0,811033.31,Personal Auto,Two-Door Car,504
FG63582,Oregon,Unknown,Bachelor,333976,0.0,94.0,333976.49,Personal Auto,Two-Door Car,863
NN71951,California,Unknown,High School or Below,2426101,66525.0,100.0,2426101.78,Personal Auto,SUV,104
WB37082,Arizona,Unknown,Bachelor,661397,0.0,63.0,661397.37,Personal Auto,Four-Door Car,676
SM52139,Washington,Unknown,College,293069,33663.0,73.0,293069.35,Personal Auto,Four-Door Car,350
FL82372,Oregon,Unknown,College,867219,22547.0,112.0,867219.43,Corporate Auto,SUV,537
DP45816,Arizona,Unknown,High School or Below,1163866,61486.0,97.0,1163866.93,Personal Auto,Two-Door Car,465
GW33762,Oregon,Unknown,Bachelor,684615,0.0,95.0,684615.03,Personal Auto,Two-Door Car,456
RZ33670,California,Unknown,College,1172777,29879.0,102.0,1172777.65,Personal Auto,Four-Door Car,500
PY70169,Oregon,Unknown,High School or Below,2264383,93011.0,113.0,2264383.48,Personal Auto,SUV,281
MO91628,Oregon,Unknown,Master,261447,65186.0,65.0,261447.43,Personal Auto,Two-Door Car,5
HW87852,Oregon,Unknown,Master,245175,26840.0,64.0,245175.27,Personal Auto,Four-Door Car,307
HB20453,Oregon,Unknown,Bachelor,678127,0.0,104.0,678127.02,Personal Auto,Luxury,982
BN87372,Oregon,Unknown,Bachelor,497480,75644.0,65.0,497480.15,Personal Auto,Two-Door Car,467
YX23800,Oregon,Unknown,Bachelor,859160,38984.0,73.0,859160.49,Personal Auto,Four-Door Car,350
DZ87709,Oregon,Unknown,High School or Below,559216,71811.0,71.0,559216.14,Personal Auto,Four-Door Car,29
XW13033,Nevada,Unknown,College,800947,20961.0,67.0,800947.28,Personal Auto,Four-Door Car,321
OM82309,California,Unknown,Bachelor,5816655,61321.0,186.0,5816655.35,Personal Auto,Luxury,427
ZU35962,California,Unknown,College,802522,0.0,77.0,802522.94,Personal Auto,Two-Door Car,25
VH85817,California,Unknown,High School or Below,578018,51066.0,74.0,578018.22,Personal Auto,Four-Door Car,787
DT85712,California,Unknown,Doctor,411853,34378.0,102.0,411853.91,Personal Auto,SUV,489
YJ88573,Nevada,Unknown,Master,252307,43072.0,63.0,252307.02,Personal Auto,Four-Door Car,302
SQ19467,Oregon,Unknown,College,655421,25222.0,90.0,655421.64,Personal Auto,Four-Door Car,475
YB66933,Washington,F,Bachelor,538275,77552.0,68.0,538275.2,Corporate Auto,Four-Door Car,45
ET79815,California,Unknown,College,592672,23091.0,96.0,592672.94,Personal Auto,Four-Door Car,460
QC35222,California,Unknown,Bachelor,268347,48269.0,69.0,268347.07,Corporate Auto,Four-Door Car,282
CJ15590,Oregon,Unknown,Bachelor,269518,32720.0,67.0,269518.24,Personal Auto,Four-Door Car,321
OI48267,California,Unknown,College,604702,20396.0,76.0,604702.52,Personal Auto,Four-Door Car,364
JY67916,Oregon,Unknown,College,1317101,21513.0,119.0,1317101.28,Personal Auto,Two-Door Car,679
OW15518,Washington,F,College,1595001,0.0,87.0,1595001.95,Personal Auto,Two-Door Car,46
CZ33664,Oregon,Unknown,Bachelor,252765,80744.0,63.0,252765.38,Corporate Auto,Four-Door Car,11
WK30175,Oregon,Unknown,Bachelor,267209,52822.0,67.0,267209.58,Corporate Auto,Two-Door Car,350
ON44465,California,Unknown,High School or Below,531329,0.0,77.0,531329.4,Personal Auto,Four-Door Car,863
TV87155,Oregon,Unknown,Bachelor,2094619,69738.0,74.0,2094619.25,Personal Auto,Four-Door Car,492
KH48895,Arizona,Unknown,Master,837535,17780.0,109.0,837535.39,Personal Auto,SUV,132
NZ30757,California,Unknown,Bachelor,480166,18107.0,62.0,480166.15,Personal Auto,Four-Door Car,297
RI22468,Arizona,Unknown,Bachelor,574594,57740.0,74.0,574594.33,Personal Auto,Four-Door Car,269
FZ30935,Oregon,Unknown,College,606611,32627.0,76.0,606611.6,Personal Auto,Two-Door Car,380
UG93476,California,Unknown,College,800230,0.0,107.0,800230.83,Personal Auto,SUV,513
AB96670,California,Unknown,College,239391,0.0,70.0,239391.54,Personal Auto,Four-Door Car,425
XK64261,Oregon,Unknown,Bachelor,476281,65795.0,62.0,476281.79,Corporate Auto,Two-Door Car,49
EV68375,California,Unknown,College,433038,60475.0,107.0,433038.6,Personal Auto,Four-Door Car,513
UN51653,California,Unknown,High School or Below,940272,0.0,130.0,940272.98,Personal Auto,SUV,936
TO96662,Oregon,Unknown,Bachelor,696669,41837.0,88.0,696669.45,Personal Auto,Four-Door Car,142
MR52087,California,Unknown,Bachelor,769406,32303.0,65.0,769406.43,Personal Auto,Four-Door Car,45
DE75225,Oregon,Unknown,High School or Below,871756,0.0,117.0,871756.11,Personal Auto,SUV,561
EP80820,California,Unknown,Bachelor,592874,40531.0,74.0,592874.85,Personal Auto,Two-Door Car,30
GU99037,Oregon,Unknown,College,245297,79898.0,62.0,245297.73,Corporate Auto,Four-Door Car,271
WI57118,California,Unknown,College,670157,56398.0,85.0,670157.17,Personal Auto,Four-Door Car,408
GP39118,Washington,M,High School or Below,499655,71600.0,63.0,499655.27,Personal Auto,Two-Door Car,46
MQ14219,Arizona,Unknown,College,849269,27804.0,109.0,849269.88,Personal Auto,SUV,784
KN20603,Oregon,Unknown,Bachelor,771349,45506.0,66.0,771349.4,Personal Auto,Four-Door Car,316
SG20925,Washington,F,Master,518579,99428.0,6464.0,518579.76,Personal Auto,Four-Door Car,48
JI70886,California,Unknown,High School or Below,729006,0.0,102.0,729006.98,Corporate Auto,SUV,489
VF72557,Oregon,Unknown,High School or Below,477294,20993.0,133.0,477294.38,Personal Auto,SUV,638
OX28638,Arizona,Unknown,High School or Below,680649,37839.0,86.0,680649.14,Personal Auto,Two-Door Car,465
SK55033,California,Unknown,Bachelor,246978,92711.0,62.0,246978.13,Personal Auto,Two-Door Car,368
OO88645,California,Unknown,College,310392,74665.0,78.0,310392.3,Corporate Auto,Four-Door Car,236
FM14335,Washington,F,College,1048491,61108.0,89.0,1048491.54,Personal Auto,Four-Door Car,49
CW82151,California,Unknown,Bachelor,890273,46833.0,112.0,890273.76,Personal Auto,Luxury,64
DY22043,Oregon,Unknown,High School or Below,549944,88768.0,68.0,549944.72,Personal Auto,Two-Door Car,326
SH36774,California,Unknown,High School or Below,1502359,28262.0,192.0,1502359.86,Personal Auto,Luxury,921
EM43724,Nevada,Unknown,Bachelor,250910,33555.0,63.0,250910.79,Personal Auto,Four-Door Car,101
FH85960,Oregon,Unknown,College,3122174,42780.0,113.0,3122174.81,Personal Auto,Four-Door Car,542
XA55993,Oregon,Unknown,Master,313350,58850.0,78.0,313350.34,Personal Auto,Four-Door Car,143
GO36627,Arizona,Unknown,College,383745,21880.0,97.0,383745.19,Special Auto,Four-Door Car,424
QH48047,Oregon,Unknown,College,1179049,25251.0,66.0,1179049.62,Personal Auto,Four-Door Car,316
HS28694,Washington,F,High School or Below,282986,25317.0,71.0,282986.39,Personal Auto,Two-Door Car,50
UH65059,Arizona,Unknown,High School or Below,430580,24188.0,109.0,430580.83,Personal Auto,Luxury,523
FV21968,Nevada,Unknown,Bachelor,597397,41611.0,74.0,597397.69,Special Auto,Four-Door Car,113
QA87025,Oregon,Unknown,Bachelor,567044,28406.0,72.0,567044.24,Personal Auto,Four-Door Car,192
TQ13499,Arizona,Unknown,College,473174,69833.0,118.0,473174.93,Personal Auto,Four-Door Car,828
BU44523,Arizona,Unknown,High School or Below,802637,0.0,74.0,802637.96,Corporate Auto,Four-Door Car,532
MS41162,Arizona,Unknown,High School or Below,402296,0.0,117.0,402296.35,Personal Auto,SUV,975
PU25891,Oregon,Unknown,High School or Below,961831,80536.0,119.0,961831.09,Special Auto,Luxury,53
LH92841,Washington,F,Bachelor,725595,88891.0,89.0,725595.38,Personal Auto,Four-Door Car,50
SX26335,Oregon,Unknown,College,955292,97732.0,79.0,955292.69,Personal Auto,Four-Door Car,289
AZ95587,Arizona,F,Bachelor,1038855,61222.0,89.0,1038855.32,Special Auto,Four-Door Car,392
DS81757,Oregon,M,College,247012,0.0,74.0,247012.12,Personal Auto,Two-Door Car,721
OJ94107,Arizona,M,Master,561906,50335.0,140.0,561906.85,Personal Auto,SUV,456
LP84436,California,F,High School or Below,904711,0.0,127.0,904711.92,Personal Auto,Luxury,1087
FF22360,Washington,F,Doctor,268731,82210.0,68.0,268731.41,Personal Auto,Four-Door Car,51
LM19287,Oregon,F,High School or Below,373150,0.0,96.0,373150.46,Personal Auto,Four-Door Car,460
ZU18643,Nevada,M,Bachelor,366077,64495.0,92.0,366077.03,Corporate Auto,Four-Door Car,251
AZ82578,California,F,College,792882,0.0,72.0,792882.93,Corporate Auto,Four-Door Car,345
XC67861,Arizona,F,Bachelor,501175,28859.0,67.0,501175.16,Corporate Auto,Two-Door Car,321
YC43143,Arizona,F,High School or Below,798825,77330.0,99.0,798825.83,Personal Auto,Four-Door Car,99
EK59571,Oregon,M,College,388545,0.0,105.0,388545.64,Corporate Auto,Four-Door Car,504
PA38372,Washington,F,High School or Below,935773,33060.0,117.0,935773.78,Personal Auto,Four-Door Car,56
RO18530,Washington,M,Master,254068,42557.0,65.0,254068.98,Personal Auto,Four-Door Car,57
PD27940,Arizona,M,High School or Below,488516,26372.0,126.0,488516.25,Personal Auto,SUV,604
BS77946,Arizona,F,Bachelor,975330,17514.0,127.0,975330.71,Personal Auto,SUV,8
YM50253,California,F,Bachelor,294615,89270.0,74.0,294615.37,Personal Auto,Four-Door Car,316
NR15332,California,M,High School or Below,258111,29757.0,65.0,258111.09,Personal Auto,Four-Door Car,312
RC62865,Oregon,M,College,351738,51814.0,92.0,351738.58,Personal Auto,Four-Door Car,56
